user_id,signup_date,phone_number,delivery_address_hash,home_pincode
C000001,2026-03-01,+918970433,addr_dourgkwumrd6,290842
C000002,2026-08-12,+918970433,addr_4wr357d7maup,290842
C000003,2026-03-02,+918970433,addr_46wpz088o1ck,290842
C000004,2025-11-29,+918970433,addr_bvh7conmoqzs,290842
C000005,2025-12-20,+918970433,addr_ab4abobbam81,290842
C000006,2025-11-12,+918970433,addr_k6macxbgp4x0,290842
C000007,2026-05-15,+918970433,addr_x2e8btxhz0u4,290842
C000008,2025-11-28,+912017562,addr_0wlsupgg9bht,357577
C000009,2026-02-17,+912017562,addr_0wlsupgg9bht,357577
C000010,2025-11-22,+912017562,addr_0wlsupgg9bht,357577
C000011,2026-01-26,+912017562,addr_0wlsupgg9bht,357577
C000012,2025-09-15,+912017562,addr_0wlsupgg9bht,357577
C000013,2026-05-06,+912017562,addr_0wlsupgg9bht,357577
C000014,2025-12-11,+912017562,addr_0wlsupgg9bht,357577
C000015,2026-06-10,+912017562,addr_0wlsupgg9bht,357577
C000016,2026-04-01,+912017562,addr_0wlsupgg9bht,357577
C000017,2025-09-05,+911993041,addr_dtylsy67p5jz,329219
C000018,2026-05-10,+911993041,addr_tu1mk1nkz972,329219
C000019,2025-11-06,+911993041,addr_zp1t7cvrlp8q,329219
C000020,2026-05-27,+911940469,addr_6bhdsf89gol5,557834
C000021,2026-01-04,+911940469,addr_6bhdsf89gol5,557834
C000022,2026-08-11,+911940469,addr_6bhdsf89gol5,557834
C000023,2026-02-11,+911940469,addr_6bhdsf89gol5,557834
C000024,2025-12-11,+911940469,addr_6bhdsf89gol5,557834
C000025,2025-09-04,+911940469,addr_6bhdsf89gol5,557834
C000026,2025-09-24,+911940469,addr_6bhdsf89gol5,557834
C000027,2025-09-04,+911940469,addr_6bhdsf89gol5,557834
C000028,2026-05-11,+919668121,addr_ygyo29ycxo5k,496686
C000029,2025-12-01,+919668121,addr_ygyo29ycxo5k,496686
C000030,2026-04-29,+919668121,addr_ygyo29ycxo5k,496686
C000031,2026-08-17,+919668121,addr_ygyo29ycxo5k,496686
C000032,2025-12-26,+919668121,addr_ygyo29ycxo5k,496686
C000033,2026-01-19,+919668121,addr_ygyo29ycxo5k,496686
C000034,2026-06-04,+919668121,addr_ygyo29ycxo5k,496686
C000035,2026-01-20,+919668121,addr_ygyo29ycxo5k,496686
C000036,2026-08-20,+916433788,addr_4t0ocqyj1wx6,828430
C000037,2025-11-06,+916433788,addr_4t0ocqyj1wx6,828430
C000038,2026-03-05,+916433788,addr_4t0ocqyj1wx6,828430
C000039,2026-08-20,+916433788,addr_4t0ocqyj1wx6,828430
