user_id,signup_date,phone_number,email,device_fingerprint_id,ip_address_at_signup,referral_code_used,referred_by_user_id,kyc_status,home_pincode
U000001,2026-03-20,+919356970295,user000001@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.173,,,unverified,121859
U000002,2026-03-20,+919708683521,user000002@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.207,REF000001,U000001,verified,527582
U000003,2026-03-20,+916589416030,user000003@yahoo.com,dfp_e348db4fb1758c9d,120.127.249.113,REF000001,U000001,verified,604811
U000004,2026-03-20,+919760369634,user000004@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.83,REF000001,U000001,unverified,205680
U000005,2026-03-20,+919337075919,user000005@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.238,,,unverified,534698
U000006,2026-03-20,+919373736990,user000006@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.14,REF000001,U000001,verified,326038
U000007,2026-03-20,+919164719354,user000007@outlook.com,dfp_e348db4fb1758c9d,120.127.249.152,,,verified,534735
U000008,2026-03-21,+917040477363,user000008@yahoo.com,dfp_e348db4fb1758c9d,120.127.249.215,REF000001,U000001,verified,197481
U000009,2026-03-20,+918794669104,user000009@outlook.com,dfp_e348db4fb1758c9d,120.127.249.252,,,verified,257490
U000010,2026-03-19,+917727845272,user000010@rediffmail.com,dfp_e348db4fb1758c9d,120.127.249.186,REF000001,U000001,unverified,500951
U000011,2026-03-22,+918061758660,user000011@yahoo.com,dfp_e348db4fb1758c9d,120.127.249.133,REF000001,U000001,unverified,536103
U000012,2026-03-14,+917366975640,user000012@outlook.com,dfp_9eb9c04f841fdfc3,182.9.47.18,,,verified,500849
U000013,2026-03-12,+917510442930,user000013@yahoo.com,dfp_9eb9c04f841fdfc3,182.9.47.168,REF000012,U000012,verified,388478
U000014,2026-03-12,+918609946400,user000014@yahoo.com,dfp_9eb9c04f841fdfc3,182.9.47.210,REF000012,U000012,verified,391609
U000015,2026-03-14,+918498048173,user000015@rediffmail.com,dfp_9eb9c04f841fdfc3,182.9.47.219,REF000012,U000012,verified,692268
U000016,2026-03-13,+916050883569,user000016@gmail.com,dfp_9eb9c04f841fdfc3,182.9.47.60,,,verified,710601
U000017,2026-03-14,+918426709678,user000017@rediffmail.com,dfp_9eb9c04f841fdfc3,182.9.47.4,REF000012,U000012,verified,420157
U000018,2026-03-12,+917962045348,user000018@yahoo.com,dfp_9eb9c04f841fdfc3,182.9.47.254,REF000012,U000012,verified,398601
U000019,2026-03-12,+919422105277,user000019@outlook.com,dfp_9eb9c04f841fdfc3,182.9.47.40,REF000012,U000012,verified,248015
U000020,2026-03-13,+916857207926,user000020@rediffmail.com,dfp_9eb9c04f841fdfc3,182.9.47.81,,,verified,803085
U000021,2026-03-13,+919786641661,user000021@yahoo.com,dfp_9eb9c04f841fdfc3,182.9.47.247,REF000012,U000012,verified,346220
U000022,2026-03-12,+919496176487,user000022@gmail.com,dfp_9eb9c04f841fdfc3,182.9.47.254,REF000012,U000012,verified,299324
U000023,2026-03-11,+916136281084,user000023@outlook.com,dfp_9eb9c04f841fdfc3,182.9.47.188,,,verified,867867
U000024,2026-03-13,+918182591770,user000024@outlook.com,dfp_9eb9c04f841fdfc3,182.9.47.23,,,verified,687070
U000025,2026-03-14,+917811804480,user000025@yahoo.com,dfp_9eb9c04f841fdfc3,182.9.47.88,REF000012,U000012,verified,413445
U000026,2026-03-14,+918989373336,user000026@gmail.com,dfp_9eb9c04f841fdfc3,182.9.47.215,REF000012,U000012,unverified,243179
U000027,2025-10-19,+919079208226,user000027@outlook.com,dfp_e891fc72f4649278,142.224.57.88,,,verified,188591
U000028,2025-10-20,+919672331148,user000028@gmail.com,dfp_a5d98f03371a8a31,142.224.57.123,,,verified,814124
U000029,2025-10-20,+918190633032,user000029@outlook.com,dfp_691d142665b6695c,142.224.57.185,REF000027,U000027,verified,485364
U000030,2025-10-20,+918295808908,user000030@rediffmail.com,dfp_69002eb1b7de6126,142.224.57.138,REF000027,U000027,verified,830560
U000031,2025-10-18,+916437989664,user000031@gmail.com,dfp_31e26ed8c3f5e51f,142.224.57.217,REF000027,U000027,verified,106824
U000032,2025-10-19,+919666802343,user000032@gmail.com,dfp_cb2d7ba38073184d,142.224.57.242,,,unverified,326310
U000033,2025-10-20,+916503676406,user000033@yahoo.com,dfp_b3dd632a588860ec,142.224.57.120,REF000027,U000027,pending,801868
U000034,2025-10-21,+917762885648,user000034@hotmail.com,dfp_49a2202b1aa835e0,142.224.57.130,REF000027,U000027,unverified,781624
U000035,2025-12-27,+918100874239,user000035@outlook.com,dfp_2f047f545b07d212,139.243.124.56,,,verified,681022
