user_id,signup_date,phone_number,email,device_fingerprint_id,ip_address_at_signup,referral_code_used,referred_by_user_id,kyc_status,home_pincode
U000001,2026-07-05,+918001774208,user000001@outlook.com,dfp_bd8310b021267eeb,184.134.215.239,,,verified,770679
U000002,2026-07-05,+918064311986,user000002@rediffmail.com,dfp_bd8310b021267eeb,184.134.215.113,REF000001,U000001,verified,812875
U000003,2026-07-07,+919173751637,user000003@hotmail.com,dfp_bd8310b021267eeb,184.134.215.121,REF000001,U000001,verified,466685
U000004,2025-09-17,+916755074731,user000004@hotmail.com,dfp_491af064bdb93290,145.67.183.99,,,unverified,424065
U000005,2025-09-16,+918257571025,user000005@hotmail.com,dfp_491af064bdb93290,145.67.183.207,REF000004,U000004,verified,249675
U000006,2025-09-16,+919556399013,user000006@outlook.com,dfp_491af064bdb93290,145.67.183.60,REF000004,U000004,verified,742938
U000007,2025-09-17,+919825364009,user000007@yahoo.com,dfp_491af064bdb93290,145.67.183.24,REF000004,U000004,pending,699089
U000008,2025-09-15,+919756580293,user000008@rediffmail.com,dfp_491af064bdb93290,145.67.183.246,REF000004,U000004,verified,603180
U000009,2025-09-17,+919314389182,user000009@gmail.com,dfp_491af064bdb93290,145.67.183.241,,,verified,765957
U000010,2025-11-25,+916736804071,user000010@rediffmail.com,dfp_709af4e006733ee2,45.103.133.63,,,verified,644853
U000011,2025-11-25,+918834789120,user000011@outlook.com,dfp_709af4e006733ee2,45.103.133.90,REF000010,U000010,verified,896398
U000012,2025-11-27,+917838109419,user000012@yahoo.com,dfp_709af4e006733ee2,45.103.133.178,REF000010,U000010,verified,516337
U000013,2025-11-27,+918720085946,user000013@outlook.com,dfp_709af4e006733ee2,45.103.133.227,,,verified,381192
U000014,2025-11-26,+917414613522,user000014@hotmail.com,dfp_709af4e006733ee2,45.103.133.201,REF000010,U000010,pending,324201
U000015,2025-11-27,+916634701848,user000015@yahoo.com,dfp_709af4e006733ee2,45.103.133.252,REF000010,U000010,verified,844827
U000016,2025-11-26,+918194648754,user000016@gmail.com,dfp_709af4e006733ee2,45.103.133.2,REF000010,U000010,verified,354895
U000017,2025-11-27,+919965080054,user000017@outlook.com,dfp_709af4e006733ee2,45.103.133.240,REF000010,U000010,verified,311403
