user_id,instrument_hash,instrument_first_seen_date
U000001,card_7988_67d25aba1a,2026-04-19
U000002,upi_0pvn9er14f@oksbi,2026-04-21
U000003,upi_2tala753lc@ybl,2026-04-21
U000004,upi_64ciyhe7ur@okaxis,2026-04-22
U000005,upi_rhocn9j2qp@paytm,2026-04-21
U000006,upi_jyljexq77a@ybl,2026-04-19
U000007,upi_wjr64dpja1@paytm,2026-04-19
U000008,card_0739_cdc4c1dd3d,2026-04-20
U000009,card_1045_cafb36fe9a,2026-04-20
U000010,card_9762_a91f34c20f,2026-04-20
U000011,upi_6qf5q14j1r@oksbi,2026-04-19
U000012,card_8424_6acbdef8e9,2026-04-19
U000013,card_4236_fbc249e9e6,2026-04-22
U000014,card_5056_1a06765e72,2026-02-03
U000015,card_5056_1a06765e72,2026-02-02
U000016,card_5056_1a06765e72,2026-02-01
U000017,card_5056_1a06765e72,2026-02-03
U000018,card_5056_1a06765e72,2026-02-04
U000019,card_5056_1a06765e72,2026-02-02
U000020,card_5056_1a06765e72,2026-02-02
U000021,card_5056_1a06765e72,2026-02-01
U000022,card_5056_1a06765e72,2026-02-02
U000023,card_5056_1a06765e72,2026-02-02
U000024,card_5056_1a06765e72,2026-02-02
U000025,card_5056_1a06765e72,2026-02-02
U000026,upi_uekipu1wyu@ybl,2025-10-31
U000027,upi_uekipu1wyu@ybl,2025-10-31
U000028,upi_uekipu1wyu@ybl,2025-11-01
U000029,upi_uekipu1wyu@ybl,2025-10-31
U000030,upi_uekipu1wyu@ybl,2025-11-02
U000031,upi_uekipu1wyu@ybl,2025-10-30
U000032,upi_uekipu1wyu@ybl,2025-10-31
U000033,upi_uekipu1wyu@ybl,2025-11-02
U000034,upi_uekipu1wyu@ybl,2025-10-31
U000035,upi_uekipu1wyu@ybl,2025-11-01
U000036,upi_uekipu1wyu@ybl,2025-11-01
U000037,upi_uekipu1wyu@ybl,2025-11-02
U000038,upi_uekipu1wyu@ybl,2025-10-31
U000039,upi_uekipu1wyu@ybl,2025-10-31
U000040,upi_uekipu1wyu@ybl,2025-11-01
U000041,card_0538_8914fb8cd1,2026-02-02
U000042,card_0538_8914fb8cd1,2026-02-04
U000043,card_0538_8914fb8cd1,2026-02-02
U000044,card_0538_8914fb8cd1,2026-02-03
U000045,card_0538_8914fb8cd1,2026-02-03
U000046,card_0538_8914fb8cd1,2026-02-03
U000047,card_0538_8914fb8cd1,2026-02-02
U000048,card_0538_8914fb8cd1,2026-02-03
U000049,card_0538_8914fb8cd1,2026-02-03
U000050,card_0538_8914fb8cd1,2026-02-02
U000051,card_0538_8914fb8cd1,2026-02-03
U000052,card_0538_8914fb8cd1,2026-02-03
